sc_id,sc_title,sc_artist,local_id,local_title,local_artist,score,correct_id,notes
2167517061,Wonderwall,Hi I'm Ghost,5955,Wonderwall,Hi I'm Ghost; David Vance,0.7022675876719382,,
2175256953,Cry,Adventure Club,6067,Cry,Adventure Club， AVELLO,0.7162829156102589,,
2165520918,Sippin on Starlight,High Vibe Records,5956,Sippin on Starlight,Ayaharmony， Kadela,0.7243800374046147,,
2187411553,FREEKS,OSTRASIZE,6106,FREEKS,BiNARY,0.7559289460184546,,
2192068631,"Öwnboss, Sevek - Move Your Body (HURTBOX Remix)",HURTBOX,2259,Move Your Body (Hedex Remix),Öwnboss,0.7587927624110882,,
2184596443,Gallium x DropTalk - Recess,SubCarbon Records,6097,Gallium x DropTalk - Recess,Gallium,0.7594897484713811,,
2169494205,JAMiAM - Actin Up,Trippy Bee Records,5906,Actin Up,JAMiAM,0.7646118208536041,,
2191763635,Yewz - Energy,LoFreq,6088,Yewz - Energy,Yewz,0.7795659540570272,,
2065523160,Hustlin' (BAWDY Flip) | Supported by Levity,BAWDY,5882,Hustlin' (BAWDY Flip),BAWDY,0.7986546967434979,,
2181667603,Liu Kang x Wolfie - Wonkestra,Cyclops Recordings,6053,Liu Kang x Wolfie - Wonkestra,Liu Kang x Wolfie,0.8150238993527621,,
2192107907,Jackpot (Space Wizard Remix),Kompany,6109,Jackpot (Space Wizard Remix),Kompany， IVORY， Space Wizard,0.8164718624823836,,
2009170771,day 9 - trippin,jpky,5910,trippin,day 9,0.8190946433629722,,
2192107895,Jackpot (Spag Heddy Remix),Kompany,6077,Jackpot (Spag Heddy Remix),Kompany， IVORY， Spag Heddy,0.8283217411559691,,
2192220995,Fire,LYNY,6076,Fire,LYNY,0.833069947278831,,
2187332783,Bring The House Down,DJ SNAKE,6058,Bring The House Down,DJ Snake， Dillon Francis， TRXGGX,0.8390501024919279,,
2176706994,Bugatti w/ H808,Modestep,6091,Bugatti w/ H808,Modestep， H808,0.8393214545453911,,
2051831588,REAL,BAWDY,5847,REAL,BAWDY,0.8446288959166826,,
2069612808,BURN,2SUM,5958,BURN,2SUM,0.8545830215662894,,
2136145995,Section,LYNY,5919,Section,LYNY,0.8663726592004963,,
2176917936,Freestyle,Fervor,5846,Freestyle,Fervor,0.8671925847951341,,
2140462194,Wackman,Wooli 🐘,5957,Wackman,Wooli ,0.8677288887160945,,
2083225473,Contorted,REZZ,5895,Contorted,REZZ,0.8682055850488537,,
2165231421,FAKEOUT,Tisoki,5861,FAKEOUT,Tisoki,0.8692506794258028,,
2000175151,ABRACADABRA (YUNAGY EDIT),YUNAGY,5845,ABRACADABRA (YUNAGY EDIT),Maddix,0.8701950734480196,,
2164087740,WARPIPE,STVSH,6070,WARPIPE,STVSH,0.8705622364403538,,
2078820692,weightless,WINK,5937,weightless,WINK,0.8713543669214066,,
2192699631,KANLY,feyd,6074,KANLY,feyd,0.8728715609439697,,
1506750889,titanium,vyle,5933,titanium,vyle,0.8728715609439697,,
2004215767,Casey Club - Grill,UKF,5903,Grill,Casey Club,0.8750037485100202,,
2158074027,Paper Tiger Heart,THEFLU,5860,Paper Tiger Heart,Bit Signal,0.880758943670116,,
2161100049,Crankdat & NGHTMRE - TYPE SH*T (feat. Duke Deuce) [ERGOSUM REMIX],ERGOSUM,5827,TYPE SH*T ft. Duke Deuce (ERGOSUM Remix),Crankdat; NGHTMRE; Duke Deuce,0.8856251490268627,,
247202480,Daybreak,Electric Mantis,5853,Daybreak,Electric Mantis,0.891138747508484,,
2175415311,BACK2FRONT,Segan's Selects,6087,BACK2FRONT,Segan's Selects,0.8917270417708106,,
2032343188,day 30 - win,jpky,5834,win,day 30,0.8926560475161851,,
2183540187,TIME & SPACE,NOVUH,6062,TIME & SPACE,NOVUH,0.8981613191725356,,
2076494984,Weird & ODD (Liiksu Flip),Liiksu,5923,Weird & ODD (Liiksu Flip),WODD,0.8983851843159851,,
2172062226,TVBOO - Bounce,Wakaan,6069,TVBOO - Bounce,TVBOO,0.9029086584315054,,
1933179128,ENEMIES (feat. bludnymph& Shift K3Y) (Phrva Remix),Gryffin,5870,ENEMIES ft. bludnymph; Shift K3Y (Phrva Remix),Gryffin; bludnymph; Shift K3Y; Phrva,0.9047119034830928,,
1648434204,No Problem (CTiu's UKG Edit),ctiu,5867,No Problem (CTiu's UKG Edit),Chance The Rapper,0.9066078584275971,,
2186085488,The Same,Segan,6096,The Same,Segan,0.906893861063221,,
2110646007,No Broke Boys (AYCH X ANON FLIP),AYCH,5824,No Broke Boys (AYCH; ANON Flip),Disco Lines; Tinashe; AYCH; ANON,0.9075333836444319,,
1793914798,Eminem - Superman (Flakzz Bootleg) [BIRTHDAY FREEBIE],Flakzz,5821,Superman [BIRTHDAY FREEBIE] (Flakzz Bootleg),Eminem,0.9080708334359759,,
2185776108,Swing Dub,msft.,6108,Swing Dub,msft.,0.9099347389272747,,
1921604867,getLOUDER! (VIP),Strobez,5892,getLOUDER! (VIP),Strobez,0.9116369878426903,,
2168253897,JIQUI - PUMP UP,Jiqui,5890,PUMP UP,JIQUI,0.9140150268461853,,
2140459467,Eternal Coffee,MERIIX,5836,Eternal Coffee,meriix,0.9159041198591629,,
1955830675,Caged Within [Free Download],Filthy,5876,Caged Within,Filthy,0.9165535952896876,,
2149099314,JIQUI - DROP TOP,Jiqui,5865,DROP TOP,JIQUI,0.9176275775588253,,
2157618093,SweetTooth x DMZ NEWS OFFICIAL - LOCKED IN,Beat Intelligence Network,5960,SweetTooth x DMZ NEWS OFFICIAL - LOCKED IN,SweetTooth， DMZ NEWS OFFICIAL,0.9180721547608828,,
2172046062,Capochino - Hypnotic,Wakaan,6111,Capochino - Hypnotic,Capochino,0.9181859528571329,,
2177154789,Scafetta- WARPEDREALITY,ScAℲeTtA_Music,6047,Scafetta- WARPEDREALITY,ScAℲeTtA_Music,0.9200225778681453,,
2148081228,walipo - games begin,Reinelex Records,5944,games begin,walipo,0.9212613848407438,,
2186237208,MEDIEVAL TIMES,Kozmoz,6107,MEDIEVAL TIMES,Kozmoz,0.9212986675908833,,
2191093503,Dino Killer (Dodge & Fuski Remix),Virtual Riot,6081,Dino Killer (Dodge & Fuski Remix),Virtual Riot， Dodge & Fuski,0.9213724238253216,,
2034609236,GTA - SARIA'S TURN UP (MONSTERS EVERYWHERE FLIP) *SUPPORTED BY EXCISION & SUBTRONICS,MONSTERS EVERYWHERE,5901,SARIA'S TURN UP *SUPPORTED BY EXCISION & SUBTRONICS (MONSTERS EVERYWHERE Flip),GTA,0.9220524700460121,,
2148018747,AC13 & Ragdoll- Born Again,Bassrush,6072,AC13 & Ragdoll- Born Again,AC13 and Ragdoll,0.9234679303021133,,
2024366556,Paramore - Decode (Know Good Flip),Know Good,5851,Decode (Know Good Flip),Paramore,0.9265074727754308,,
2112558612,AHEE - Brain Rot (VIP) [OUT NOW on ZOT Records],👽AHEE👽,5823,Brain Rot (VIP),AHEE,0.9266091984757021,,
2165377038,Ossien- SYNCOPATION STATION,High Caliber Records,5959,Ossien- SYNCOPATION STATION,High Caliber Records,0.9277349837904454,,
2037437836,Ganja White Night x Boogie T - Original Sin,Ganja White Night,5809,Original Sin,Ganja White Night; Boogie T,0.9280147894751779,,
1953248231,Ganja White Night x Boogie T - Burnin,Ganja White Night,5813,Burnin,Ganja White Night; Boogie T,0.9280986260451172,,
2169223476,Say It - Flume (JVST LANDED rebook),JVST LANDED,5818,Flume (JVST LANDED rebook),Say It,0.9300617994359971,,
1874492991,Apashe - UEBOK (SUUNE Bootleg),SUUNE,5810,UEBOK (SUUNE Bootleg),Apashe,0.9306178007338306,,
2118872085,Mushroom King V.I.P,PsycheKaelic,5857,Mushroom King V.I.P,PsycheKaelic,0.9314229418935291,,
2189278115,Where Have You Been,Drinks On Me,6085,Where Have You Been,Drinks On Me,0.9339988484056776,,
2169264336,WHATS UP w/ Ray Volpe,Virtual Riot,5941,WHATS UP w/ Ray Volpe,Virtual Riot,0.9351258138000716,,
2104661451,FREAKY & WODD - HOT MILK,FREAKY,5883,HOT MILK,FREAKY; WODD,0.9355140740989856,,
2191105611,Nights on Fire 2024 (hayve Remix),Virtual Riot,6082,Nights on Fire 2024 (hayve Remix),Virtual Riot， Hayve,0.9356853463215888,,
2091993030,⁠Hang My Heart,Modestep,6093,⁠Hang My Heart,Modestep,0.9360509198414669,,
2196371675,HEYZ x WODD - Sexy Back,HEYZ,6073,HEYZ x WODD - Sexy Back,HEYZ， WODD,0.9376185743290915,,
1652744727,Black Tiger Sex Machine x WODD - Brainwashed,Black Tiger Sex Machine,5815,Brainwashed,Black Tiger Sex Machine x WODD,0.9376578877949031,,
2177252391,Lil Wayne - A Milli (RANKZ Flip) [FREE DOWNLOAD],RANKZ,5908,A Milli (RANKZ Flip),Lil Wayne,0.9381074683026422,,
2153240757,The Black Eyed Peas - Rock That Body (Daevo & Jay Phoenix VIP Edit) [FREE DOWNLOAD],EDM FAMILY Remixes,5945,Rock That Body (Daevo & Jay Phoenix VIP Edit) [FREE DOWNLOAD],The Black Eyed Peas,0.9382515615518939,,
2163955554,Limerence ft. Cassyette,Modestep,6092,Limerence ft. Cassyette,Modestep,0.9405050747021901,,
2157656259,NO HANDS - SIDEQUEST (CLUB WEAPON),SIDEQUEST,5912,SIDEQUEST (CLUB WEAPON),NO HANDS,0.9422872054011081,,
2115990360,BOOGIE T & CYCLOPS - NOISE COMPLAINT,CYCLOPS,5920,NOISE COMPLAINT,BOOGIE T; CYCLOPS,0.9430693221747978,,
2120351373,GNARLES BARKELY - CRAZY (WESTWOOD FLIP),WESTWOOD,5889,CRAZY (WESTWOOD Flip),GNARLES BARKELY,0.9434725105093111,,
2176200882,Zeds Dead & Flux Pavilion - WAVES (SETH DAVID & AZASSIN FLIP),Seth David,5925,WAVES (SETH DAVID; AZASSIN Flip),Zeds Dead; Flux Pavilion,0.9436193185286015,,
2161587516,Sleep Token - Emergence (Venture 5 Remix),Venture 5,5929,Emergence (Venture 5 Remix),Sleep Token,0.9448907845713912,,
385563464,MAKE IT  BUN DEM (MONXX REMIX),WONXX Promotions 🌐,5858,MAKE IT BUN DEM (MONXX Remix),WONXX Promotions 🌐,0.9461954809547514,,
2139807822,MAU P - LIKE I LIKE IT (ZOEY808 REMIX),Zoey808,5898,LIKE I LIKE IT (ZOEY808 REMIX),MAU P,0.9466168642041485,,
1388442568,Noer the Boy - Noid (Mahsiv Remix),Mahsiv,5868,Noid (Mahsiv Remix),Noer the Boy,0.9479374248887749,,
2083197741,deadmau5 & Kaskade - I Remember (Phrva Flip),Phrva,5904,I Remember (Phrva Flip),deadmau5; Kaskade,0.9487827589185558,,
2120852556,rae sremmurd - no type (zest flip),zest,5859,no type (zest Flip),rae sremmurd,0.949704620405017,,
2168283606,Pitbull - Hotel Room Service (Spira Bootleg),Spira,5820,Hotel Room Service (Spira Bootleg),Pitbull,0.9508684277707473,,
1949914891,M?STIC - MKULTRA X WAKA FLOCKA & GUCCI MANE - 15TH & THE 1ST (KNOW GOOD EDIT),M?STIC,5852,15TH & THE 1ST (KNOW GOOD Edit),MKULTRA; WAKA FLOCKA; GUCCI MANE,0.9512173494275626,,
2152898124,Au5 & Tasha Baxter - Snowblind (Outset Remix),Outset,5874,Snowblind (Outset Remix),Au5; Tasha Baxter,0.9515946229835504,,
2179889075,Disrupta - Inside The Rider,CRUCAST,6065,Disrupta - Inside The Rider,Disrupta,0.9527536911628671,,
2188180795,MVRCO - STUNTIN,MVRCO,6099,MVRCO - STUNTIN,MVRCO,0.9528545592515529,,
2011312571,GIMME GIMME - WODD REMIX [FREE DOWNLOAD],WODD REMIXES,5872,WODD REMIX [FREE DOWNLOAD],GIMME GIMME,0.9535730297603521,,
2087798898,we are the people (laszewo and distant matter. edit),Łaszewo,5953,we are the people (laszewo and distant matter. edit),Łaszewo， distant matter.,0.9536094459217276,,
1955682671,$PIN 4 ME ($LUTCHK EDIT) (Spins FLO x Real 4 me Pretty Sweet),$LUTCHK,5828,$PIN 4 ME (Spins FLO x Real 4 me Pretty Sweet) ($LUTCHK Edit),$LUTCHK,0.9542241645422543,,
2176339092,Young Miko - Wassup (Shroom x UrBoiN8 Flip),Shroom,6110,Young Miko - Wassup (Shroom x UrBoiN8 Flip),Shroom， UrBoiN8,0.9549701329446888,,
2197365323,Let's Get It Started (Levity x Crankdat Remix),Levity,6089,Let's Get It Started (Levity x Crankdat Remix),Levity， Crankdat,0.9553727738381501,,
2165508747,Acyan - SPIKES (VIP),Acyan,5961,Acyan - SPIKES (VIP),Acyan,0.9553906003043479,,
2192221003,Triumph (with Cozy Kev),LYNY,6057,Triumph (with Cozy Kev),LYNY,0.9562600899670812,,
2149964931,Till Lindemann - Und die Engel singen (Virtual Riot Remix),Virtual Riot,5951,Und die Engel singen (Virtual Riot Remix),Till Lindemann,0.9565246158501275,,
2123720601,DJ Snake & Space Laces - Reloaded (Lizdek Remix),Lizdek,5848,Reloaded (Lizdek Remix),DJ Snake; Space Laces,0.956529153354744,,
2163634494,Subtronics x Wooli x LEVEL UP - Dingus,Subtronics,5932,Dingus,Subtronics; Wooli; LEVEL UP,0.9573389669716776,,
2163827226,bbyblu x DoVeE - Chikn' Wang,Soundz Organic,6059,bbyblu x DoVeE - Chikn' Wang,bbyblu， DoVeE,0.957841488692319,,
2159799168,Section (FIXION FLIP),FIXION,5856,Section (FIXION Flip),Fixion,0.958372751624531,,
2190732315,NVADRZ & ALIAS - BYE BYE,NUFORM,6083,NVADRZ & ALIAS - BYE BYE,NVADRZ & ALIAS,0.9588089309338591,,
2192630511,Felmax & Blaize - Badfellas,FELMAX,6098,Felmax & Blaize - Badfellas,FELMAX,0.9591849741878923,,
2176739121,STADIUM DUB (NFL THEME REMIX),nikko,6048,STADIUM DUB (NFL THEME REMIX),nikko,0.96074951289348,,
2156416485,MY BAD - Stuntin',MY BAD,6068,MY BAD - Stuntin',MY BAD,0.9613689296374961,,
2078876700,WODD - WEIRD & ODD [BOOPED BY BEEP] (RUNNER-UP | FREEBIE),BEEP,5943,WEIRD & ODD [BOOPED BY BEEP] (RUNNER-UP | FREEBIE),WODD,0.96138672628488,,
2116204020,"Disco Lines, Tinashe - No Broke Boys (Whethan Remix)",Whethan,5863,No Broke Boys (Whethan Remix),Disco Lines; Tinashe,0.9614895623470402,,
2191959087,GARETH - IRIS (OZZTIN FLIP),OZZTIN,6079,GARETH - IRIS (OZZTIN FLIP),OZZTIN,0.961760854425956,,
2091674085,MY NECK MY BACK (BAWDY Flip) (FREE DL),BAWDY,5896,MY NECK MY BACK (BAWDY Flip),BAWDY,0.9618124225921301,,
2160968943,Wiz Khalifa - We Dem Boyz (RAVENSCOON & Emurse Flip),Ravenscoon,6071,Wiz Khalifa - We Dem Boyz (RAVENSCOON & Emurse Flip),RAVENSCOON， Emurse,0.9634642325381181,,
2119744497,VICTORY LAP (BABYDOCS EDIT),BABYDOCS,5938,VICTORY LAP (BABYDOCS Edit),BABYDOCS,0.9635014027927807,,
2170924812,Skrillex - Cinema (MADCORE EDIT),MADCORE,6063,Skrillex - Cinema (MADCORE EDIT),MADCORE,0.9639008533629222,,
2064875832,AHEE BRAIN TICKLER (WODD REMIX),WODD,5837,AHEE BRAIN TICKLER (WODD Remix),WODD,0.9641461053539967,,
2131361352,LOZER- COMING IN HOT,LOZER,6051,LOZER- COMING IN HOT,LOZER,0.9645495385397288,,
2181733871,MPH - FUNK MASTER (veng flip),veng,6066,MPH - FUNK MASTER (veng flip),veng,0.9666432999145511,,
2159686962,THE WAY I ARE (CYCLOPS REMIX),CYCLOPS,5935,THE WAY I ARE (CYCLOPS Remix),CYCLOPS,0.9669210739621369,,
2048571940,"Dom Dolla, Nelly Furtado - Eat Your Man (Mersiv flip)",Mersiv,5844,Eat Your Man (Mersiv Flip),Dom Dolla; Nelly Furtado,0.9672794615100364,,
2187495623,BLACK EYED PEAS - MY HUMPS (HAZEA REMIX),HAZEÄ,6086,BLACK EYED PEAS - MY HUMPS (HAZEA REMIX),HAZEÄ,0.9676450174266024,,
2182082403,KNOW GOOD - CROCODILE [RELIK REMIX],RELIK,6101,KNOW GOOD - CROCODILE [RELIK REMIX],RELIK,0.9677905407689382,,
2123495385,ROCK THAT BODY (SINH Remix),SINH,6049,ROCK THAT BODY (SINH Remix),Sinh,0.9679854645003437,,
2185059227,"Ganja White Night, Liquid Stranger - Lost In The Sauce",Wakaan,6100,"Ganja White Night, Liquid Stranger - Lost In The Sauce",Ganja White Night， Liquid Stranger,0.9680055990220175,,
2168730069,EVERY TIME WE TOUCH (CYCLOPS REMIX),CYCLOPS,5840,EVERY TIME WE TOUCH (CYCLOPS Remix),CYCLOPS,0.9681863137342046,,
2181886179,Flux Pavilion - Bass Cannon (GLTY Flip),GLTY,6102,Flux Pavilion - Bass Cannon (GLTY Flip),GLTY,0.9691610939618145,,
2181969911,FREE BIRD (CRANKDAT REMIX),Crankdat,6055,FREE BIRD (CRANKDAT REMIX),Crankdat,0.9696981344201681,,
1695637794,PONY (NAKEN JERSEY CLUB EDIT),NAKEN,5902,PONY (NAKEN JERSEY CLUB Edit),NAKEN,0.9697622781825591,,
1958508591,SUAVEMENTE (MONSTERS EVERYWHERE FLIP),MONSTERS EVERYWHERE,5936,SUAVEMENTE (MONSTERS EVERYWHERE Flip),MONSTERS EVERYWHERE,0.9718916470836372,,
2191659991,Selena Gomez - Slow Down (COSTA FLIP),COSTA,6080,Selena Gomez - Slow Down (COSTA FLIP),COSTA,0.9721721400743205,,
1915619063,WINK & nikko - MERCY,NIGHTMODE,5948,MERCY,WINK & nikko,0.9724902909900162,,
2192050539,3OH!3 - DONTTRUSTME (SULLIVAN KING & BENDA REMIX),Sullivan King,6078,3OH!3 - DONTTRUSTME (SULLIVAN KING & BENDA REMIX),Sullivan King,0.9730095916637376,,
2169032334,50 CENT - JUST A LIL BIT (RUVLO FLIP),RUVLO,6060,50 CENT - JUST A LIL BIT (RUVLO FLIP),RUVLO,0.9730364945354877,,
2190365819,Jkyl & Hyde - With You,Jkyl & Hyde,6084,Jkyl & Hyde - With You,Jkyl & Hyde,0.9733965607972622,,
2176811352,SLUGZ X PANTHER - SHELLSHOCK,slugzmusic,5934,SHELLSHOCK,SLUGZ; PANTHER,0.9738950410531,,
2197635527,Oddly Eazy - Foreva In Tha Lab,Oddly Eazy,6090,Oddly Eazy - Foreva In Tha Lab,Oddly Eazy,0.9742351483776022,,
2094068976,Tove Lo - Habits (Stay High) (ODIN Flip),ODIN,6064,Tove Lo - Habits (Stay High) (ODIN Flip),ODIN,0.9747699745661951,,
2042541876,Forgot About Dre (Keeb x Kyju Remix) *Free DL*,KEEB,6052,Forgot About Dre (Keeb x Kyju Remix) *Free DL*,KEEB,0.974797594508009,,
2173635990,BRITNEY SPEARS- ... BABY ONE MORE TIME [GRITLOCK FLIP],GRITLOCK,6094,BRITNEY SPEARS- ... BABY ONE MORE TIME [GRITLOCK FLIP],GRITLOCK,0.9748642717052295,,
2176831413,ODESZA - SAY MY NAME (FEAT. ZYRA) (SAVAGE REMIX),SAVAGE,6104,ODESZA - SAY MY NAME (FEAT. ZYRA) (SAVAGE REMIX),SAVAGE,0.9748763146460099,,
2180621523,Ragie Ban - Habanera,Ragie Ban,6105,Ragie Ban - Habanera,Ragie Ban,0.9763642239470902,,
2192331359,LINKIN PARK - PAPERCUT (SULLIVAN KING & VASTIVE REMIX),Sullivan King,6075,LINKIN PARK - PAPERCUT (SULLIVAN KING & VASTIVE REMIX),Sullivan King,0.9764035266404834,,
2158043598,Aly & AJ - Potential Breakup Song (UNNEVN REMIX) [Free Download],UNNEVN,6050,Aly & AJ - Potential Breakup Song (UNNEVN REMIX) [Free Download],UNNEVN,0.9782493555417517,,
2184723371,Three 6 Mafia - Sippin' on Some Syrup (Shanghai Doom Flip),Shanghai Doom,6095,Three 6 Mafia - Sippin' on Some Syrup (Shanghai Doom Flip),Shanghai Doom,0.9783037503137666,,
281817881,Untitld - Fight Song (JADŪ015),Jadū Dala,5940,Fight Song (JADŪ015),Untitld,0.9796187827624744,,
2157460281,Jack Blom - Loud N Clear,DOMEOFDOOM,5826,Loud N Clear,Jack Blom,0.979860361561606,,
2181262263,JUSTIN BIEBER - BEAUTY AND A BEAT ft. NICKI MINAJ (RUVLO FLIP),RUVLO,6103,JUSTIN BIEBER - BEAUTY AND A BEAT ft. NICKI MINAJ (RUVLO FLIP),RUVLO,0.9804746098729211,,
2176477053,COLDPLAY - VIVA LA VIDA X ALOBOI (N4C HARD EDIT REMIX),N4C,5962,COLDPLAY - VIVA LA VIDA X ALOBOI (N4C HARD EDIT REMIX),N4C,0.9804920057449209,,
2103031995,The Temper Trap - Sweet Disposition (STAR SEED Remix),STAR SEED,6056,The Temper Trap - Sweet Disposition (STAR SEED Remix),STAR SEED,0.9805476553368789,,
1741000281,FREE DL - never let u go Bootleg (Dub Pack available on Bandcamp),IsGwan,5893,never let u go Bootleg (Dub Pack available on Bandcamp),FREE DL,0.991768387539433,,
2103295443,CLINT EASTWØØD <BØSSED BY AUSSBØSS>,AUSSBØSS,5897,CLINT EASTWØØD <BØSSED BY AUSSBØSS>,AUSSBØSS,0.9919849101821507,,
2175529923,Skrillex & Elliphant - Only Getting Younger (Digested by Eater),Eater,6054,Skrillex & Elliphant - Only Getting Younger (Digested by Eater),Eater,0.9952617129322827,,
